"game_id","refNum","total_cards","any_cards_light","any_cards_verylight","any_cards_dark","any_cards_verydark","proportion_cards_light","proportion_cards_verylight","proportion_cards_dark","proportion_cards_verydark"
904,449,7,4,1,1,1,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143
905,744,1,0,1,0,0,0,1,0,0
906,992,2,1,1,0,0,0.5,0.5,0,0
907,373,7,4,1,1,1,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143
908,1182,1,0,1,0,0,0,1,0,0
909,992,2,0,2,0,0,0,1,0,0
910,2473,1,0,0,0,1,0,0,0,1
911,1621,3,3,0,0,0,1,0,0,0
912,820,1,1,0,0,0,1,0,0,0
913,1462,4,4,0,0,0,1,0,0,0
914,204,1,1,0,0,0,1,0,0,0
915,2672,2,1,0,0,1,0.5,0,0,0.5
916,2302,1,1,0,0,0,1,0,0,0
917,1909,6,0,6,0,0,0,1,0,0
918,749,3,1,2,0,0,0.333333333333333,0.666666666666667,0,0
919,442,6,4,1,1,0,0.666666666666667,0.166666666666667,0.166666666666667,0
920,3147,0,0,0,0,0,0,0,0,0
921,357,5,1,4,0,0,0.2,0.8,0,0
922,683,4,3,1,0,0,0.75,0.25,0,0
923,641,8,2,5,1,0,0.25,0.625,0.125,0
924,1614,1,1,0,0,0,1,0,0,0
925,2619,9,3,4,0,2,0.333333333333333,0.444444444444444,0,0.222222222222222
926,1070,1,0,0,1,0,0,0,1,0
927,919,2,1,1,0,0,0.5,0.5,0,0
928,1769,2,2,0,0,0,1,0,0,0
929,1968,1,1,0,0,0,1,0,0,0
930,1572,5,3,1,1,0,0.6,0.2,0.2,0
931,2282,3,1,1,1,0,0.333333333333333,0.333333333333333,0.333333333333333,0
932,414,9,4,4,1,0,0.444444444444444,0.444444444444444,0.111111111111111,0
933,699,1,0,1,0,0,0,1,0,0
934,157,6,4,0,1,1,0.666666666666667,0,0.166666666666667,0.166666666666667
935,2579,1,0,1,0,0,0,1,0,0
936,550,2,0,2,0,0,0,1,0,0
937,1098,1,1,0,0,0,1,0,0,0
938,2902,4,2,2,0,0,0.5,0.5,0,0
939,2047,5,0,5,0,0,0,1,0,0
940,1100,4,1,3,0,0,0.25,0.75,0,0
941,429,3,3,0,0,0,1,0,0,0
942,1627,6,1,3,1,1,0.166666666666667,0.5,0.166666666666667,0.166666666666667
